epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,902.54,1.22044,0.69266,1.71895,1,0.97938,0.9943,0.73852,1.74982,0.77675,2.00667,0.00029225,0.00029225,0.00029225
71,926.891,1.21744,0.7142,1.72913,0.97693,0.98113,0.99376,0.74155,1.77114,0.7697,2.03437,0.0002675,0.0002675,0.0002675
72,939.262,1.14957,0.58238,1.67452,1,0.95683,0.99339,0.74665,1.83488,0.75586,2.04364,0.00024275,0.00024275,0.00024275
73,951.236,1.16326,0.59855,1.69417,0.99908,0.96226,0.99372,0.72973,1.83915,0.75406,2.04252,0.000218,0.000218,0.000218
74,963.503,1.12155,0.60521,1.67619,0.99793,0.98113,0.99303,0.74205,1.79306,0.74758,2.04963,0.00019325,0.00019325,0.00019325
75,975.201,1.15494,0.55809,1.69895,0.99816,0.98113,0.99257,0.74719,1.78629,0.73579,2.04758,0.0001685,0.0001685,0.0001685
76,987.464,1.13664,0.55418,1.70556,0.99783,0.98113,0.99246,0.74545,1.79376,0.74324,2.038,0.00014375,0.00014375,0.00014375
77,1000.82,1.17841,0.62912,1.68088,0.99393,0.98113,0.99315,0.73731,1.78632,0.7664,2.02089,0.000119,0.000119,0.000119
78,1012.72,1.12517,0.57511,1.71361,0.98105,0.98113,0.99315,0.73617,1.76342,0.77566,2.01235,9.425e-05,9.425e-05,9.425e-05
79,1026.11,1.0925,0.55404,1.64513,0.97958,0.98113,0.99278,0.73464,1.76465,0.76568,2.01701,6.95e-05,6.95e-05,6.95e-05
80,1037.3,1.13596,0.59462,1.70253,0.98622,0.98113,0.99315,0.74614,1.76045,0.75526,2.02167,4.475e-05,4.475e-05,4.475e-05
